category,models_count,vertices_min,vertices_mean,vertices_max,faces_min,faces_mean,faces_max,triangles_min,triangles_mean,triangles_max,edges_min,edges_mean,edges_max,surface_area_min,surface_area_mean,surface_area_max,bbox_diagonal_min,bbox_diagonal_mean,bbox_diagonal_max,max_radius_min,max_radius_mean,max_radius_max
bathtub,156,202.0,8959.6667,261711.0,183.0,9381.2308,122855.0,183.0,9381.2308,122855.0,377.0,17139.3526,263151.0,351.841187,67123807.816671,8238137783.744413,14.716385,963.738329,77640.178566,9.051001,536.38172,44759.346519
bed,615,100.0,10943.9512,246191.0,68.0,12061.1301,208716.0,68.0,12061.1301,208716.0,156.0,21674.1057,313386.0,0.128437,205454478.516568,37754611099.771675,0.311995,1139.801816,141589.263127,0.144452,623.257566,76821.101582
chair,989,114.0,13037.4601,250056.0,74.0,12489.8797,165408.0,74.0,12489.8797,165408.0,168.0,23451.0344,296784.0,0.627191,148021333.777922,130576080270.4192,0.802914,831.631532,335135.330797,0.388538,422.070703,168828.916718
desk,286,134.0,6409.9371,94086.0,76.0,6727.528,125286.0,76.0,6727.528,125286.0,170.0,12674.2343,216175.0,1292.443496,5883731.061191,1651480353.541077,36.108309,213.825446,25747.261372,22.102087,128.236186,15893.466857
dresser,286,112.0,9673.6294,176097.0,72.0,10843.8671,283606.0,72.0,10843.8671,283606.0,164.0,19859.6259,456532.0,0.734851,44419.831379,2841313.548821,0.326142,76.391294,878.548975,0.178082,44.551321,515.373053
monitor,565,106.0,4226.8903,137115.0,60.0,3943.1274,127656.0,60.0,3943.1274,127656.0,143.0,7859.5965,259627.0,16.376189,9886879.7925,2648656544.538998,2.45029,400.943041,50691.976531,1.357369,251.214612,38262.759775
night_stand,286,104.0,4867.0629,189046.0,64.0,5839.4371,286433.0,64.0,5839.4371,286433.0,148.0,10325.9755,464528.0,35.4969,19705.555721,2002196.010827,2.913938,49.356235,716.484418,2.020856,29.578827,385.69449
sofa,780,110.0,12509.8,502603.0,62.0,14238.7718,403575.0,62.0,14238.7718,403575.0,145.0,25373.0692,856503.0,8.837307,151750169.522013,53991218910.157524,2.353031,701.912985,107262.992717,1.105165,359.568147,52540.882944
table,492,104.0,6647.2439,370056.0,60.0,6150.6382,221734.0,60.0,6150.6382,221734.0,150.0,11868.2276,375428.0,0.940159,979556.552919,137803499.244621,0.90824,169.661626,10882.352687,0.453096,86.417564,7891.900632
toilet,444,212.0,9347.1734,131605.0,192.0,14111.0135,164155.0,192.0,14111.0135,164155.0,394.0,22995.3378,289082.0,14.762619,1558103.478849,270728816.502979,2.140293,175.245843,8493.422283,1.125068,94.570961,4509.240167
