file,category,split,vertices_count,faces_count,triangles_count,edges_count,surface_area,mean_triangle_area,min_triangle_area,max_triangle_area,bbox_x,bbox_y,bbox_z,bbox_diagonal,centroid_x,centroid_y,centroid_z,max_radius_from_centroid
D:\research\data\ModelNet10\bathtub\test\bathtub_0107.off,bathtub,test,1568,1820,1820,3339,15391.809189632982,8.466341688466994,1.2972418778437845e-05,106.6394527537105,45.7923,92.00777,38.94,109.90308494151972,-0.08950051020408188,11.018661033163259,2.8943461798469587,57.23484997518373
D:\research\data\ModelNet10\bathtub\test\bathtub_0108.off,bathtub,test,352,322,322,649,14114.086623294981,45.23745712594541,0.40462181498495314,650.9997609899999,27.5591,62.9921,16.5354,70.71724053142911,-2.7670454548222136e-05,-9.829545448723145e-06,-1.037936363636364,35.61563439972153
D:\research\data\ModelNet10\bathtub\test\bathtub_0109.off,bathtub,test,7422,12400,12400,19752,31918.837183051914,2.575553714439759,0.0011977199999997391,330.36948741271004,40.3805,98.689,32.601,111.50304346631081,-1.4989917919698186,0.007463643088067493,0.2403598437078975,50.805409836054174
D:\research\data\ModelNet10\bathtub\test\bathtub_0110.off,bathtub,test,6812,8086,8086,14648,19312.802041373438,2.407179613782092,1.5181073743630756e-06,1642.403450955,41.9997,83.1603,25.5625,96.60772071853263,-9.151207868467424,27.45035386083361,6.026851426893716,76.70421203434802
D:\research\data\ModelNet10\bathtub\test\bathtub_0111.off,bathtub,test,7940,12460,12460,20322,9680878.548580313,776.9565448298836,0.0074683606634794765,684457.36625,699.25,1957.69,447.068,2126.3514514830326,17.384988916876395,836.4419400503804,144.91059193954612,1888.309938546037
D:\research\data\ModelNet10\bathtub\test\bathtub_0112.off,bathtub,test,2638,2484,2484,5043,19618.22223785834,7.910573483007382,0.00012332456730117946,793.5952631970001,27.559,62.9917,32.45492,76.03140523557617,-0.01589461713419179,20.427304435178044,4.963542001516286,57.752795992662314
D:\research\data\ModelNet10\bathtub\test\bathtub_0113.off,bathtub,test,1054,1212,1212,2212,19377.377519483536,16.014361586350017,0.009300360000000112,1053.0,62.0,78.0,31.4135,104.47395839274972,18.39924127134725,4.820318349146126,8.642023453510454,70.38016842190466
D:\research\data\ModelNet10\bathtub\test\bathtub_0114.off,bathtub,test,3208,3148,3148,6101,10471.906813090298,3.3435206938347095,0.00025165999999941346,329.39941038731695,39.6511,69.2913,35.649502,87.43215072127646,9.920644907730596,0.004913268079801442,4.871676677057356,41.20855363689484
D:\research\data\ModelNet10\bathtub\test\bathtub_0115.off,bathtub,test,3666,4638,4638,8215,34965.019425941464,7.538814020254761,1.1873499904570868e-06,1734.2338320576,61.83,61.829996,31.0953,92.80525301646462,-14.350461895253613,-13.622151488270559,8.838630223676862,66.8896619547952
D:\research\data\ModelNet10\bathtub\test\bathtub_0116.off,bathtub,test,335,435,435,768,5148.497037792108,12.029198686430151,0.01171875,254.8061231603354,30.25,60.0,18.125,69.59581973796989,2.1641560268656717,-13.919011071641782,1.594590597014926,47.78665211629176
D:\research\data\ModelNet10\bathtub\test\bathtub_0117.off,bathtub,test,6171,7415,7415,12636,14719.811781993656,1.9851398222513346,1.804999999962826e-07,60.83414946865002,67.6572,81.6098,22.348504,108.33795179399515,-7.700433061092224,-0.05106742715929438,-2.162423867768537,46.72273258980821
D:\research\data\ModelNet10\bathtub\test\bathtub_0118.off,bathtub,test,5887,6876,6876,12677,22597.46967037366,3.288339591148675,2.7267700050200177e-05,493.48907084250004,38.7736,70.2518,26.33846,84.45366738852495,-6.701988453541645,0.007142228639374556,-3.021903993545061,42.01663259439838
D:\research\data\ModelNet10\bathtub\test\bathtub_0119.off,bathtub,test,5236,8804,8804,14036,18138.439444688753,2.060249823340384,1.209820891573459e-06,42.25284602344461,32.3569,64.5589,33.0878,79.4331357536639,-0.19433430710466043,3.675421747135206,-3.162573151260513,40.73886529653639
D:\research\data\ModelNet10\bathtub\test\bathtub_0120.off,bathtub,test,968,854,854,1760,136778.90929501396,160.72727296711392,0.01462504500002365,12377.247835315004,167.7104,257.4057,87.75,319.5067059713301,8.790466322314048,-54.50212438016521,17.144764462809857,198.2905061285869
D:\research\data\ModelNet10\bathtub\test\bathtub_0121.off,bathtub,test,2314,3122,3122,5414,15675.275215867125,5.0696232910307515,0.0003744518210333847,472.7986486095,39.327,68.5353,15.7677,80.57493802901745,-1.7392752808988505,-6.910285263612791,5.054404756266322,48.17779134037787
D:\research\data\ModelNet10\bathtub\test\bathtub_0122.off,bathtub,test,7014,11848,11848,18828,15563.227152268228,1.313574202588465,6.858935784249001e-08,58.5365431708285,47.9487,84.0,36.3648,103.33187557927127,-0.0007471582549266092,-0.005563087539209841,-11.853391979469702,50.44954119397985
D:\research\data\ModelNet10\bathtub\test\bathtub_0123.off,bathtub,test,1248,1204,1204,2416,53086.06966020751,44.23839138350631,1.999999999988296e-05,2095.893155,80.06,125.625,62.938,161.7171483454986,-2.1588141025641026,-39.9449935897435,-0.9879238782051709,115.05221294409613
D:\research\data\ModelNet10\bathtub\test\bathtub_0124.off,bathtub,test,3516,3180,3180,6525,10045.582137240655,3.173959601023893,6.800000000013826e-07,348.7504836,29.5276,47.2441,23.622,60.51349461541616,0.1456684812286689,9.57690795221846,-5.255396759954495,40.19608137460797
D:\research\data\ModelNet10\bathtub\test\bathtub_0125.off,bathtub,test,7699,9627,9627,16954,31173.51668577899,3.2455509303256886,3.6962819154681216e-08,1500.0,48.5,62.5,30.0,84.6079192510961,-1.7419059696064372,23.41910440446843,6.251537287959425,64.15542057707253
D:\research\data\ModelNet10\bathtub\test\bathtub_0126.off,bathtub,test,220,230,230,444,418696.9431686763,1820.4214920377235,21.052138654088253,38613.20035109999,202.0674,462.413,96.8858,513.8519971289398,-2.0318695454545512,5.0760409090909135,36.58174818181818,257.83069077029074
D:\research\data\ModelNet10\bathtub\test\bathtub_0127.off,bathtub,test,765,908,908,1670,294144.2885489012,323.94745434901085,8.664288737500016,4841.82792,273.5496,273.5493,34.75,388.4149400971209,-13.035091036601333,5.38630516339868,1.8517973856209151,151.99228514709463
D:\research\data\ModelNet10\bathtub\test\bathtub_0128.off,bathtub,test,4888,4624,4624,8972,5982.604339993834,1.2938158174727141,1.169500106880545e-05,605.3095111579821,39.3701,66.9291,26.6457,82.09447319588573,7.690907673895204,28.70422596972249,8.951039545826749,71.48794247728868
D:\research\data\ModelNet10\bathtub\test\bathtub_0129.off,bathtub,test,780,664,664,1387,351.84118692172746,0.5322862131947461,1.1394800000038077e-05,40.0,10.0,10.0,4.07087,14.716384833134121,2.0509610307692343,2.066813730769227,0.5079022051282048,9.05100147932411
D:\research\data\ModelNet10\bathtub\test\bathtub_0130.off,bathtub,test,2723,2357,2357,4864,934.2734033285111,0.39790179017398253,8.399999999950656e-08,49.6315668914,9.92912,20.08659,6.54605,23.343292235779426,0.1483095299302238,4.185410347043695,1.0348196823356481,14.86653464150783
D:\research\data\ModelNet10\bathtub\test\bathtub_0131.off,bathtub,test,1372,1065,1065,2289,9874.15275471528,9.288948969628658,2.500000000016378e-06,509.18700799999993,27.795,85.591,20.748,92.35183165481885,-1.8845306122449057,-13.197341836734688,0.4462344533527708,58.28024746078425
D:\research\data\ModelNet10\bathtub\test\bathtub_0132.off,bathtub,test,806,652,652,1356,36707.665539531066,56.647632005449225,0.008053776000000049,1976.7244218050002,47.5591,86.6743,24.032,101.74398899836785,-0.005507940446652984,-12.33142555831268,2.8732186228287637,62.3410628488187
D:\research\data\ModelNet10\bathtub\test\bathtub_0133.off,bathtub,test,2954,3972,3972,6850,60433.14875090436,15.214790722785612,0.00036480649999998116,3649.4765002500003,66.9291,109.222,29.5276,131.45656648707208,-8.03284844955988,2.1469547244414335,10.050384394042073,71.22330215439943
D:\research\data\ModelNet10\bathtub\test\bathtub_0134.off,bathtub,test,1206,1144,1144,2313,439364.40491559776,384.0597945066413,0.02186970544258238,42933.588749999995,293.563,292.5,95.9122,425.36412058122625,-74.34088971807633,69.84847170812623,21.96585074626868,264.2029546423775
D:\research\data\ModelNet10\bathtub\test\bathtub_0135.off,bathtub,test,10319,17416,17416,27672,20501.77045193517,1.1773154043835328,1.473000000016579e-07,291.2128576569969,33.1346,69.0305,25.762156,80.78861509630138,-2.408800561100879,0.015721830797557856,0.9977999226669871,36.328430809379654
D:\research\data\ModelNet10\bathtub\test\bathtub_0136.off,bathtub,test,3462,3303,3303,6685,8450.893785093833,2.5616531631081583,9.37499999937863e-05,294.3984375,26.245,54.68685,19.875,63.83155342714526,-0.24354702484084617,1.1927405401502196,-1.4721021086077615,29.76552448555549
D:\research\data\ModelNet10\bathtub\test\bathtub_0137.off,bathtub,test,216,183,183,377,14538.033520077284,80.76685288931824,5.347502887650001,642.3198759876999,35.4331,58.2677,22.047202,71.67083475814135,-0.46580129629629735,9.351851851234648e-06,-4.937768092592598,37.870106452258405
